metric,value
total_games,100
white_wins,100
black_wins,0
draws,0
white_win_rate,1.00
black_win_rate,0.00
draw_rate,0.00
mean_white_score,58.24
mean_black_score,5.76
std_white_score,4.32
std_black_score,4.32
mean_total_moves,53.4
std_total_moves,4.8
mean_white_think_time_ms,14.8
std_white_think_time_ms,3.2
mean_white_nodes,1312
std_white_nodes,287
min_white_score,52
max_white_score,64
min_black_score,0
max_black_score,12
target_win_rate,0.90
actual_win_rate,1.00
target_met,TRUE
confidence_level,0.95
p_value,4.9e-12
ci_lower,0.963
ci_upper,1.00
proposal_reference,Reversi_Proposal.md Section 8.3.1
