game_id,position_hash,white_player,black_player,white_score,black_score,winner,total_moves,white_think_time_ms,white_nodes_explored,white_depth,game_duration_ms,random_seed,position_index
1,0xe32fc9,MinimaxAI-6,RandomAI,64,0,white,60,15,1250,6,234,42,0
2,0xa3f291,MinimaxAI-6,RandomAI,55,9,white,48,18,1480,6,267,42,1
3,0x7c4e12,MinimaxAI-6,RandomAI,60,4,white,52,12,980,6,198,42,2
4,0x2b8d35,MinimaxAI-6,RandomAI,62,2,white,58,14,1120,6,215,42,3
5,0x9e5f47,MinimaxAI-6,RandomAI,58,6,white,54,16,1350,6,245,42,4
6,0x4a7c93,MinimaxAI-6,RandomAI,52,12,white,50,19,1580,6,289,42,5
7,0xc3d1ae,MinimaxAI-6,RandomAI,63,1,white,59,11,890,6,176,42,6
8,0x6f8b24,MinimaxAI-6,RandomAI,56,8,white,51,17,1420,6,258,42,7
9,0x1d6a39,MinimaxAI-6,RandomAI,61,3,white,57,13,1050,6,203,42,8
10,0x8e2c41,MinimaxAI-6,RandomAI,54,10,white,49,20,1680,6,312,42,9
11,0x5b9f72,MinimaxAI-6,RandomAI,59,5,white,53,15,1290,6,238,42,10
12,0x2e5a83,MinimaxAI-6,RandomAI,64,0,white,61,10,820,6,165,42,11
13,0x9c1d56,MinimaxAI-6,RandomAI,57,7,white,52,18,1450,6,273,42,12
14,0x4f8ac9,MinimaxAI-6,RandomAI,53,11,white,48,21,1720,6,325,42,13
15,0xc7b3de,MinimaxAI-6,RandomAI,62,2,white,58,14,1180,6,218,42,14
16,0x6a3e51,MinimaxAI-6,RandomAI,60,4,white,55,16,1380,6,252,42,15
17,0x1f9c84,MinimaxAI-6,RandomAI,55,9,white,50,19,1550,6,294,42,16
18,0x8c65a7,MinimaxAI-6,RandomAI,64,0,white,60,9,780,6,158,42,17
19,0x5932ca,MinimaxAI-6,RandomAI,58,6,white,54,17,1420,6,261,42,18
20,0x26bfed,MinimaxAI-6,RandomAI,61,3,white,56,12,1020,6,195,42,19
21,0xad4c30,MinimaxAI-6,RandomAI,54,10,white,49,22,1780,6,338,42,20
22,0x5a1963,MinimaxAI-6,RandomAI,63,1,white,59,11,910,6,172,42,21
23,0x27d696,MinimaxAI-6,RandomAI,56,8,white,52,18,1480,6,279,42,22
24,0x9e43c9,MinimaxAI-6,RandomAI,60,4,white,55,15,1320,6,243,42,23
25,0x4b10fc,MinimaxAI-6,RandomAI,52,12,white,48,20,1650,6,315,42,24
26,0xc7add1,MinimaxAI-6,RandomAI,59,5,white,53,16,1360,6,247,42,25
27,0x647a04,MinimaxAI-6,RandomAI,64,0,white,62,8,720,6,148,42,26
28,0x1f4727,MinimaxAI-6,RandomAI,57,7,white,51,17,1430,6,268,42,27
29,0x8c145a,MinimaxAI-6,RandomAI,53,11,white,47,21,1700,6,322,42,28
30,0x59e18d,MinimaxAI-6,RandomAI,62,2,white,58,13,1090,6,208,42,29
31,0x26aec0,MinimaxAI-6,RandomAI,55,9,white,50,19,1520,6,287,42,30
32,0xad7bf3,MinimaxAI-6,RandomAI,60,4,white,56,14,1240,6,229,42,31
33,0x5a4826,MinimaxAI-6,RandomAI,64,0,white,61,9,850,6,162,42,32
34,0x271549,MinimaxAI-6,RandomAI,58,6,white,53,16,1390,6,254,42,33
35,0x9e827c,MinimaxAI-6,RandomAI,54,10,white,49,20,1620,6,308,42,34
36,0x4b4faf,MinimaxAI-6,RandomAI,61,3,white,57,12,1080,6,201,42,35
37,0xc71cd2,MinimaxAI-6,RandomAI,56,8,white,52,17,1440,6,271,42,36
38,0x64e905,MinimaxAI-6,RandomAI,63,1,white,59,10,890,6,169,42,37
39,0x1fb638,MinimaxAI-6,RandomAI,59,5,white,54,15,1310,6,240,42,38
40,0x8c836b,MinimaxAI-6,RandomAI,55,9,white,51,18,1500,6,283,42,39
41,0x59509e,MinimaxAI-6,RandomAI,64,0,white,60,8,760,6,151,42,40
42,0x261dc1,MinimaxAI-6,RandomAI,57,7,white,52,16,1400,6,259,42,41
43,0xadeaf4,MinimaxAI-6,RandomAI,52,12,white,48,21,1690,6,319,42,42
44,0x5ab727,MinimaxAI-6,RandomAI,60,4,white,55,14,1260,6,232,42,43
45,0x27845a,MinimaxAI-6,RandomAI,62,2,white,58,13,1120,6,214,42,44
46,0x9e518d,MinimaxAI-6,RandomAI,54,10,white,49,20,1640,6,311,42,45
47,0x4b1eb0,MinimaxAI-6,RandomAI,59,5,white,54,15,1340,6,246,42,46
48,0xc7ebd3,MinimaxAI-6,RandomAI,64,0,white,63,7,680,6,142,42,47
49,0x64b806,MinimaxAI-6,RandomAI,56,8,white,51,17,1460,6,275,42,48
50,0x1f8539,MinimaxAI-6,RandomAI,53,11,white,47,22,1730,6,327,42,49
51,0x8c526c,MinimaxAI-6,RandomAI,61,3,white,57,12,1100,6,205,42,50
52,0x591f9f,MinimaxAI-6,RandomAI,55,9,white,50,18,1530,6,291,42,51
53,0x26ecc2,MinimaxAI-6,RandomAI,60,4,white,56,14,1280,6,236,42,52
54,0xadb9f5,MinimaxAI-6,RandomAI,64,0,white,62,8,740,6,149,42,53
55,0x5a8728,MinimaxAI-6,RandomAI,58,6,white,53,16,1370,6,252,42,54
56,0x27545b,MinimaxAI-6,RandomAI,54,10,white,49,20,1660,6,315,42,55
57,0x9e21ae,MinimaxAI-6,RandomAI,61,3,white,57,13,1130,6,211,42,56
58,0x4beec1,MinimaxAI-6,RandomAI,57,7,white,52,16,1420,6,265,42,57
59,0xc7bbf4,MinimaxAI-6,RandomAI,63,1,white,59,10,920,6,175,42,58
60,0x648827,MinimaxAI-6,RandomAI,59,5,white,54,15,1330,6,244,42,59
61,0x1f555a,MinimaxAI-6,RandomAI,52,12,white,48,21,1710,6,323,42,60
62,0x8c228d,MinimaxAI-6,RandomAI,60,4,white,55,14,1250,6,231,42,61
63,0x59efc0,MinimaxAI-6,RandomAI,64,0,white,61,8,790,6,156,42,62
64,0x26bcf3,MinimaxAI-6,RandomAI,55,9,white,50,18,1510,6,286,42,63
65,0xad8a26,MinimaxAI-6,RandomAI,58,6,white,53,16,1380,6,253,42,0
66,0x5a5759,MinimaxAI-6,RandomAI,56,8,white,52,17,1450,6,273,42,1
67,0x27248c,MinimaxAI-6,RandomAI,62,2,white,58,13,1140,6,217,42,2
68,0x9ef1bf,MinimaxAI-6,RandomAI,54,10,white,49,20,1630,6,309,42,3
69,0x4bbed2,MinimaxAI-6,RandomAI,59,5,white,54,15,1350,6,247,42,4
70,0xc78c05,MinimaxAI-6,RandomAI,64,0,white,64,6,620,6,138,42,5
71,0x645938,MinimaxAI-6,RandomAI,57,7,white,52,16,1410,6,264,42,6
72,0x1f266b,MinimaxAI-6,RandomAI,53,11,white,47,22,1720,6,326,42,7
73,0x8cf39e,MinimaxAI-6,RandomAI,61,3,white,57,12,1110,6,207,42,8
74,0x59c0d1,MinimaxAI-6,RandomAI,55,9,white,50,18,1520,6,288,42,9
75,0x268e04,MinimaxAI-6,RandomAI,60,4,white,56,14,1270,6,235,42,10
76,0xad5b37,MinimaxAI-6,RandomAI,64,0,white,62,8,750,6,150,42,11
77,0x5a285a,MinimaxAI-6,RandomAI,58,6,white,53,16,1360,6,251,42,12
78,0x26f58d,MinimaxAI-6,RandomAI,54,10,white,49,20,1650,6,313,42,13
79,0x9dc2c0,MinimaxAI-6,RandomAI,62,2,white,58,13,1150,6,219,42,14
80,0x4a8ff3,MinimaxAI-6,RandomAI,57,7,white,52,16,1430,6,267,42,15
81,0xc75d26,MinimaxAI-6,RandomAI,63,1,white,59,10,900,6,171,42,16
82,0x642a59,MinimaxAI-6,RandomAI,59,5,white,54,15,1340,6,245,42,17
83,0x1ff78c,MinimaxAI-6,RandomAI,52,12,white,48,21,1700,6,322,42,18
84,0x8cc4bf,MinimaxAI-6,RandomAI,60,4,white,55,14,1260,6,232,42,19
85,0x5991f2,MinimaxAI-6,RandomAI,64,0,white,61,8,810,6,159,42,20
86,0x265f25,MinimaxAI-6,RandomAI,55,9,white,50,18,1510,6,285,42,21
87,0xad2c58,MinimaxAI-6,RandomAI,58,6,white,53,16,1370,6,252,42,22
88,0x5a0000,MinimaxAI-6,RandomAI,56,8,white,52,17,1440,6,272,42,23
89,0x26cd33,MinimaxAI-6,RandomAI,62,2,white,58,13,1160,6,220,42,24
90,0x9d9a66,MinimaxAI-6,RandomAI,54,10,white,49,20,1640,6,311,42,25
91,0x4a6799,MinimaxAI-6,RandomAI,59,5,white,54,15,1350,6,248,42,26
92,0xc735cc,MinimaxAI-6,RandomAI,64,0,white,64,6,640,6,139,42,27
93,0x6402ff,MinimaxAI-6,RandomAI,57,7,white,52,16,1420,6,266,42,28
94,0x1fd032,MinimaxAI-6,RandomAI,53,11,white,47,22,1710,6,325,42,29
95,0x8c9d65,MinimaxAI-6,RandomAI,61,3,white,57,12,1120,6,208,42,30
96,0x596a98,MinimaxAI-6,RandomAI,55,9,white,50,18,1530,6,290,42,31
97,0x2637cb,MinimaxAI-6,RandomAI,60,4,white,56,14,1280,6,236,42,32
98,0xad04fe,MinimaxAI-6,RandomAI,64,0,white,62,8,760,6,151,42,33
99,0x59d231,MinimaxAI-6,RandomAI,58,6,white,53,16,1380,6,254,42,34
100,0x269f64,MinimaxAI-6,RandomAI,54,10,white,49,20,1650,6,313,42,35
