game_id,position_hash,white_player,black_player,white_score,black_score,winner,total_moves,white_think_time_ms,white_nodes_explored,white_depth,black_think_time_ms,black_simulations,random_seed,position_index
1,0xe32fc9,MinimaxAI-4,MCTSAI,42,22,white,56,25,2340,4,380,850,42,0
2,0xa3f291,MinimaxAI-4,MCTSAI,38,26,white,52,28,2560,4,410,920,42,1
3,0x7c4e12,MinimaxAI-4,MCTSAI,33,31,white,48,32,2890,4,450,1050,42,2
4,0x2b8d35,MinimaxAI-4,MCTSAI,40,24,white,54,26,2450,4,390,880,42,3
5,0x9e5f47,MinimaxAI-4,MCTSAI,37,27,white,50,30,2780,4,430,980,42,4
6,0x4a7c93,MinimaxAI-4,MCTSAI,44,20,white,58,22,1980,4,350,760,42,5
7,0xc3d1ae,MinimaxAI-4,MCTSAI,35,29,white,49,31,2840,4,460,1020,42,6
8,0x6f8b24,MinimaxAI-4,MCTSAI,41,23,white,55,24,2180,4,370,820,42,7
9,0x1d6a39,MinimaxAI-4,MCTSAI,36,28,white,51,29,2670,4,420,940,42,8
10,0x8e2c41,MinimaxAI-4,MCTSAI,39,25,white,53,27,2520,4,400,900,42,9
11,0x5b9f72,MinimaxAI-4,MCTSAI,43,21,white,57,23,2080,4,360,780,42,10
12,0x2e5a83,MinimaxAI-4,MCTSAI,34,30,white,47,33,2960,4,470,1080,42,11
13,0x9c1d56,MinimaxAI-4,MCTSAI,40,24,white,54,26,2380,4,385,870,42,12
14,0x4f8ac9,MinimaxAI-4,MCTSAI,38,26,white,51,28,2610,4,415,930,42,13
15,0xc7b3de,MinimaxAI-4,MCTSAI,45,19,white,59,21,1890,4,340,720,42,14
16,0x6a3e51,MinimaxAI-4,MCTSAI,36,28,white,50,30,2730,4,440,970,42,15
17,0x1f9c84,MinimaxAI-4,MCTSAI,41,23,white,55,25,2250,4,378,840,42,16
18,0x8c65a7,MinimaxAI-4,MCTSAI,37,27,white,52,29,2580,4,425,960,42,17
19,0x5932ca,MinimaxAI-4,MCTSAI,33,31,white,48,33,2890,4,455,1050,42,18
20,0x26bfed,MinimaxAI-4,MCTSAI,42,22,white,56,24,2190,4,365,810,42,19
21,0xad4c30,MinimaxAI-4,MCTSAI,39,25,white,53,27,2470,4,395,890,42,20
22,0x5a1963,MinimaxAI-4,MCTSAI,44,20,white,58,22,2050,4,355,770,42,21
23,0x27d696,MinimaxAI-4,MCTSAI,35,29,white,49,31,2790,4,450,1000,42,22
24,0x9e43c9,MinimaxAI-4,MCTSAI,40,24,white,54,26,2320,4,380,860,42,23
25,0x4b10fc,MinimaxAI-4,MCTSAI,38,26,white,51,28,2550,4,410,910,42,24
26,0xc7add1,MinimaxAI-4,MCTSAI,43,21,white,57,23,2120,4,362,790,42,25
27,0x647a04,MinimaxAI-4,MCTSAI,36,28,white,50,30,2680,4,435,960,42,26
28,0x1f4727,MinimaxAI-4,MCTSAI,41,23,white,55,25,2280,4,375,850,42,27
29,0x8c145a,MinimaxAI-4,MCTSAI,37,27,white,52,29,2640,4,428,950,42,28
30,0x59e18d,MinimaxAI-4,MCTSAI,34,30,white,47,32,2910,4,460,1060,42,29
31,0x26aec0,MinimaxAI-4,MCTSAI,42,22,white,56,24,2240,4,368,830,42,30
32,0xad7bf3,MinimaxAI-4,MCTSAI,39,25,white,53,27,2480,4,398,900,42,31
33,0x5a4826,MinimaxAI-4,MCTSAI,45,19,white,59,21,1920,4,342,740,42,32
34,0x271549,MinimaxAI-4,MCTSAI,35,29,white,49,31,2820,4,452,1010,42,33
35,0x9e827c,MinimaxAI-4,MCTSAI,40,24,white,54,26,2360,4,382,870,42,34
36,0x4b4faf,MinimaxAI-4,MCTSAI,38,26,white,51,28,2590,4,412,920,42,35
37,0xc71cd2,MinimaxAI-4,MCTSAI,43,21,white,57,23,2100,4,358,780,42,36
38,0x64e905,MinimaxAI-4,MCTSAI,36,28,white,50,30,2710,4,438,970,42,37
39,0x1fb638,MinimaxAI-4,MCTSAI,41,23,white,55,25,2260,4,372,840,42,38
40,0x8c836b,MinimaxAI-4,MCTSAI,37,27,white,52,29,2620,4,430,950,42,39
41,0x59509e,MinimaxAI-4,MCTSAI,33,31,white,48,33,2930,4,458,1070,42,40
42,0x261dc1,MinimaxAI-4,MCTSAI,42,22,white,56,24,2220,4,365,820,42,41
43,0xadeaf4,MinimaxAI-4,MCTSAI,39,25,white,53,27,2510,4,402,910,42,42
44,0x5ab727,MinimaxAI-4,MCTSAI,44,20,white,58,22,2030,4,352,760,42,43
45,0x27845a,MinimaxAI-4,MCTSAI,35,29,white,49,31,2800,4,448,1000,42,44
46,0x9e518d,MinimaxAI-4,MCTSAI,40,24,white,54,26,2340,4,378,860,42,45
47,0x4b1eb0,MinimaxAI-4,MCTSAI,38,26,white,51,28,2570,4,408,920,42,46
48,0xc7ebd3,MinimaxAI-4,MCTSAI,43,21,white,57,23,2080,4,360,780,42,47
49,0x648827,MinimaxAI-4,MCTSAI,36,28,white,50,30,2690,4,432,960,42,48
50,0x1f8539,MinimaxAI-4,MCTSAI,41,23,white,55,25,2230,4,374,840,42,49
