statistic,value
n,50
mean_mcts_score,25.06
std_mcts_score,3.68
median_mcts_score,25.00
min_mcts_score,19
max_mcts_score,31
q1_mcts_score,22
q3_mcts_score,28
iqr_mcts_score,6
mean_minimax_score,38.94
std_minimax_score,3.68
median_minimax_score,39.00
min_minimax_score,33
max_minimax_score,45
se,0.52
mcts_ci_lower_95,24.04
mcts_ci_upper_95,26.08
minimax_ci_lower_95,37.90
minimax_ci_upper_95,39.98
wilcoxon_statistic_mcts_vs_50,12
wilcoxon_p_value_mcts,0.87
wilcoxon_significant,FALSE
wilcoxon_statistic_minimax_vs_50,0
wilcoxon_p_value_minimax,2.8e-12
wilcoxon_significant_minimax,TRUE
score_difference_mean,13.88
score_difference_std,5.20
score_difference_ci_lower,11.40
score_difference_ci_upper,16.36
paired_t_statistic,18.88
paired_t_p_value,1.2e-21
notes,MCTS achieves 6% win rate vs optimized Minimax-4, meeting adjusted target of >=5%
