matchup,group_a,group_b,games,group_a_wins,group_b_wins,draws,group_a_win_rate,group_b_win_rate,mean_score_a,mean_score_b,mean_nodes_a,mean_nodes_b,mean_time_ms_a,mean_time_ms_b,tt_hit_rate_a,tt_hit_rate_b,cutoff_rate
1,A,B,50,8,42,0,0.16,0.84,26.4,37.6,125000,1800,450,25,0.00,0.00,0.00
2,A,C,50,10,40,0,0.20,0.80,27.8,36.2,125000,950,450,18,0.00,0.35,0.00
3,A,D,50,7,43,0,0.14,0.86,25.2,38.8,125000,820,450,15,0.00,0.42,0.00
4,A,E,50,6,44,0,0.12,0.88,24.6,39.4,125000,780,450,12,0.00,0.48,0.00
5,B,C,50,15,35,0,0.30,0.70,30.2,33.8,1800,950,25,18,0.00,0.35,0.62
6,B,D,50,12,38,0,0.24,0.76,28.4,35.6,1800,820,25,15,0.00,0.42,0.62
7,B,E,50,10,40,0,0.20,0.80,26.8,37.2,1800,780,25,12,0.00,0.48,0.62
8,C,D,50,20,30,0,0.40,0.60,32.6,31.4,950,820,18,15,0.35,0.42,0.62
9,C,E,50,18,32,0,0.36,0.64,31.2,32.8,950,780,18,12,0.35,0.48,0.62
10,D,E,50,22,28,0,0.44,0.56,33.8,30.2,820,780,15,12,0.42,0.48,0.68
